year,week,per_customer_mean
2021,52,60.07234853379774
2022,1,59.074731108964514
2022,2,64.88148633829233
2022,3,67.58797935711131
2022,4,66.14722814269874
2022,5,61.408010651977236
2022,6,54.31326508176125
2022,7,49.41353502012878
2022,8,47.654023718696685
2022,9,48.0116911349104
2022,10,47.5642391883939
2022,11,57.66415426453625
2022,12,66.7885471879775
2022,13,59.25104145624161
2022,15,93.71411927920903
2022,16,97.65250932389768
2022,17,108.8259952870292
2022,18,107.56429019074476
2022,19,122.10977994099296
2022,20,128.20413390181935
2022,21,82.60684658493815
2022,22,2.4196666666666666
2022,23,3.1500000000000004
2022,24,5.467777777777778
2022,26,2.59175
2022,27,1.239875
2022,28,1.9348385000000001
2022,29,2.057125
2022,30,3.6778
2022,31,2.8107330999999998
2022,32,0.8494103333333334
2022,33,0.53025
2022,34,2.74372
2022,35,1.424646125
2022,36,1.9075
2022,37,1.0947597500000001
2022,38,1.8391286666666666
2022,39,70.96291791044781
2022,40,82.41575034722239
2022,41,82.14587434554963
2022,42,124.52257230142563
2022,43,118.5384649781113
2022,44,49.66272185773735
2022,45,95.32221501894128
2022,46,90.2336459515767
2022,47,84.61176119696854
2022,48,87.52247118464877
2022,49,87.8263638799897
2022,50,97.77249294921208
2022,51,87.25052421439146
2022,52,71.6588506627787
