peak_hour,days
0,176985
1,114658
2,80918
3,62060
4,54539
5,58860
6,111668
7,200233
8,274250
9,307177
10,294579
11,264467
12,228901
13,205676
14,161504
15,136939
16,128061
17,125057
18,120046
19,155452
20,167751
21,168566
22,171188
23,188000
