peak_hour,days
0,124186
1,76085
2,52801
3,40035
4,34377
5,36499
6,71970
7,126259
8,163396
9,185389
10,181815
11,166794
12,144509
13,127548
14,100768
15,88439
16,84608
17,80811
18,88184
19,113685
20,110716
21,114185
22,117744
23,129177
