year,week,per_customer_mean
2021,52,60.07234853379738
2022,1,59.07473110896365
2022,2,64.88148633829353
2022,3,67.58797935710939
2022,4,66.1472281426988
2022,5,61.408010651976284
2022,6,54.31326508176084
2022,7,49.413535020128265
2022,8,47.65402371869644
2022,9,48.011691134910365
2022,10,47.56423918839365
2022,11,57.66415426453708
2022,12,66.78854718797702
2022,13,59.25104145624038
2022,15,93.71411927920911
2022,16,97.65250932389797
2022,17,108.82599528702666
2022,18,107.5642901907444
2022,19,122.10977994099218
2022,20,128.2041339018215
2022,21,82.60684658493753
2022,22,2.4196666666666666
2022,23,3.15
2022,24,5.467777777777777
2022,26,2.59175
2022,27,1.239875
2022,28,1.9348385000000001
2022,29,2.057125
2022,30,3.6778
2022,31,2.8107331
2022,32,0.8494103333333334
2022,33,0.53025
2022,34,2.74372
2022,35,1.4246461250000002
2022,36,1.9075000000000002
2022,37,1.0947597500000001
2022,38,1.8391286666666666
2022,39,0.8540000000000001
2022,40,2.5865
2022,41,0.35000000000000003
2022,42,1.0219999999999998
2022,43,0.917
2022,44,39.843115905957404
2022,45,0.41400000000000003
2022,46,0.9761111111111112
2022,47,0.37799999999999995
2022,48,0.7598181818181818
2022,49,0.7820909090909091
2022,50,0.3546666666666667
2022,51,1.1123636363636364
2022,52,0.3906
