peak_hour,days
0,1450754
1,612460
2,412322
3,347324
4,363377
5,476234
6,892822
7,1640741
8,2313759
9,2356909
10,2169453
11,1914403
12,1650303
13,1433718
14,1115803
15,960783
16,817113
17,756557
18,859977
19,1008525
20,1100917
21,1185066
22,1238943
23,1306997
