is_weekend,hour,per_customer_hour_mean
false,0,0.09366324133351059
false,1,0.07461613153121838
false,2,0.06558120667543578
false,3,0.062054573650236755
false,4,0.06404835590199405
false,5,0.07677683766874771
false,6,0.11343294366388229
false,7,0.18069037493119566
false,8,0.2566620299248491
false,9,0.28243128909443826
false,10,0.27560913331548503
false,11,0.2556745822838534
false,12,0.22821460746506522
false,13,0.20301593234280665
false,14,0.17446367173517605
false,15,0.1514234257001218
false,16,0.13512298048688806
false,17,0.13644684543649557
false,18,0.15665352437925187
false,19,0.16586164489789668
false,20,0.16670434291478137
false,21,0.1659469325188287
false,22,0.1544942594956754
false,23,0.12622945070260796
true,0,0.09415140186008641
true,1,0.07545496018967765
true,2,0.06597093960183134
true,3,0.06211301875976243
true,4,0.06386275325651065
true,5,0.07561501952930005
true,6,0.1073218661995503
true,7,0.16578493402970582
true,8,0.23920088575921478
true,9,0.27453403404478877
true,10,0.2824594418595637
true,11,0.2710148741785399
true,12,0.24628728616912632
true,13,0.2185120733197099
true,14,0.18566739175722585
true,15,0.1589229688427387
true,16,0.14060070460634944
true,17,0.13955416244130764
true,18,0.15796403379699012
true,19,0.16499918128135316
true,20,0.16369610053251904
true,21,0.15889577551814224
true,22,0.15015229099919455
true,23,0.124710832184247
