is_weekend,hour,per_customer_hour_mean
false,0,0.20489579702223357
false,1,0.18579198082538567
false,2,0.17113249813910233
false,3,0.16050216878164372
false,4,0.1537157990746113
false,5,0.1541155588135621
false,6,0.1707159027469685
false,7,0.21113722243008326
false,8,0.25024889585550947
false,9,0.2627610738731145
false,10,0.25943189562212693
false,11,0.2475786021570465
false,12,0.2310901548792485
false,13,0.21830883889271838
false,14,0.20595911137321207
false,15,0.19982034699738846
false,16,0.18781406183143834
false,17,0.17950977941421467
false,18,0.184853507191576
false,19,0.19536077481278677
false,20,0.20777694703478447
false,21,0.22133213087837644
false,22,0.23223947014432153
false,23,0.2246499303889236
true,0,0.2091129550219153
true,1,0.19023225617833434
true,2,0.17788805453765855
true,3,0.16648410819925716
true,4,0.1585465236934469
true,5,0.15774674040977685
true,6,0.16950444668726425
true,7,0.201955296018021
true,8,0.24156103137798132
true,9,0.26266342292641426
true,10,0.26953064230814144
true,11,0.26472606690652734
true,12,0.25219842334878007
true,13,0.23897454966165554
true,14,0.2250718366893697
true,15,0.21521893031093633
true,16,0.20141983579880693
true,17,0.190755683024282
true,18,0.19172057582416188
true,19,0.1993435163298167
true,20,0.20958650923963354
true,21,0.2209803220567295
true,22,0.23161746173639547
true,23,0.22983582713769038
