year,week,per_customer_mean
2021,48,48.1533439953199
2021,49,48.41528283697003
2021,50,52.510757762810925
2021,51,57.52637987849153
2021,52,58.6852650953489
2022,1,59.07473110896334
2022,2,64.88148633829344
2022,3,67.58797935710982
2022,4,66.1472281426988
2022,5,61.40801065197625
2022,6,54.31326508176073
2022,7,49.413535020128215
2022,8,47.65402371869656
2022,9,48.011691134910464
2022,10,47.56423918839337
2022,11,57.66415426453695
2022,12,66.78854718797731
2022,13,59.25104145624105
2022,15,93.7141192792089
2022,16,97.65250932389758
2022,17,108.82599528702639
2022,18,107.56429019074399
2022,19,122.10977994099119
2022,20,128.20413390182176
2022,21,82.6068465849373
2022,22,2.4196666666666666
2022,23,3.1500000000000004
2022,24,5.467777777777777
2022,26,2.59175
2022,27,1.239875
2022,28,1.9348385000000001
2022,29,2.057125
2022,30,3.6778
2022,31,2.8107331
2022,32,0.8494103333333333
2022,33,0.5302499999999999
2022,34,2.74372
2022,35,1.424646125
2022,36,1.9074999999999998
2022,37,1.0947597500000001
2022,38,1.8391286666666666
2022,39,0.8539999999999999
2022,40,2.5865
2022,41,0.35000000000000003
2022,42,1.022
2022,43,0.917
2022,44,39.843115905957305
2022,45,0.41400000000000003
2022,46,0.9761111111111112
2022,47,0.37799999999999995
2022,48,0.7598181818181818
2022,49,0.7820909090909091
2022,50,0.3546666666666667
2022,51,1.1123636363636362
2022,52,0.3906
