is_weekend,hour,per_customer_hour_mean
false,0,0.21591797429924722
false,1,0.19605742054811148
false,2,0.1806845027390382
false,3,0.16946705024700315
false,4,0.16222604440808186
false,5,0.16222884037698487
false,6,0.18040724445601397
false,7,0.21941268638690983
false,8,0.2534663453969048
false,9,0.2664648276001713
false,10,0.2642967431983246
false,11,0.25295441979046895
false,12,0.23711214826686638
false,13,0.22504916830885474
false,14,0.2131915826446594
false,15,0.20682060883767042
false,16,0.19689309253174833
false,17,0.19000173264388137
false,18,0.19584776619348457
false,19,0.21022106731676082
false,20,0.22265292843108742
false,21,0.23385592395663746
false,22,0.24195329292777062
false,23,0.23488801253115243
true,0,0.218583333478687
true,1,0.19970617870258744
true,2,0.18651432833718992
true,3,0.17479913793326388
true,4,0.16657099362057035
true,5,0.16524523449044873
true,6,0.17691063689243108
true,7,0.20663924860723085
true,8,0.24211557198015057
true,9,0.2644328812424243
true,10,0.27407827877249913
true,11,0.2710079227830474
true,12,0.25928820607637443
true,13,0.24683605854054763
true,14,0.23323226466986677
true,15,0.2236660113709155
true,16,0.2114643517217308
true,17,0.20205579326418782
true,18,0.20357825841569527
true,19,0.21404184260586495
true,20,0.2237014564060893
true,21,0.23213379661739028
true,22,0.23943441833823614
true,23,0.2372420725009305
