peak_hour,days
0,68982
1,43895
2,38347
3,39890
4,44722
5,66106
6,147515
7,311989
8,530191
9,564323
10,516700
11,452207
12,376861
13,313552
14,223516
15,164571
16,129473
17,128257
18,163170
19,176854
20,170549
21,160074
22,133198
23,103152
