is_weekend,hour,per_customer_hour_mean
false,0,0.25370031079064487
false,1,0.23124558583954122
false,2,0.21342748978695691
false,3,0.20019712507494958
false,4,0.19139770461487943
false,5,0.19004102547962579
false,6,0.21362899171055283
false,7,0.2477806761118006
false,8,0.2644957052809631
false,9,0.2791746886789983
false,10,0.28099121362346535
false,11,0.2714025622742764
false,12,0.25777776596948354
false,13,0.24816030059289385
false,14,0.23799997821811833
false,15,0.23083236321117945
false,16,0.22803527836699328
false,17,0.22618683245208285
false,18,0.23376807482244522
false,19,0.2614725637848805
false,20,0.27396113313561676
false,21,0.27741171940327675
false,22,0.2757364507551819
false,23,0.2704940765491197
true,0,0.2511524584738129
true,1,0.23228774592605106
true,2,0.21550947873285764
true,3,0.20274811605346627
true,4,0.19354302564311499
true,5,0.19045089292293862
true,6,0.20180616035164167
true,7,0.22238402453255343
true,8,0.24397963139368248
true,9,0.270383817004947
true,10,0.2893725313845555
true,11,0.29213503386221884
true,12,0.2831326654780151
true,13,0.27326565245219153
true,14,0.2606673054317146
true,15,0.2520646112107292
true,16,0.24523343553356897
true,17,0.2400456154978602
true,18,0.24344236128206645
true,19,0.2634555740432665
true,20,0.2711534222850169
true,21,0.2696297380943128
true,22,0.2657134510404243
true,23,0.26214037679178
