is_weekend,hour,per_customer_hour_mean
false,0,0.24894761530515722
false,1,0.22627205438713097
false,2,0.20869284844488786
false,3,0.19584809152708343
false,4,0.1875575885750991
false,5,0.18706028226638227
false,6,0.21200218541952084
false,7,0.2485834462177844
false,8,0.26782087449503506
false,9,0.2819067023141062
false,10,0.2820561972163418
false,11,0.27128451961316424
false,12,0.25756523098736017
false,13,0.2472407729297443
false,14,0.23606266743574286
false,15,0.22785834504692354
false,16,0.22469124098335624
false,17,0.22284815111369147
false,18,0.22719263184300556
false,19,0.25675701765415854
false,20,0.27170728284482215
false,21,0.2747408873446823
false,22,0.27228491605593214
false,23,0.26597717645966135
true,0,0.24889698017333886
true,1,0.22990367865704336
true,2,0.21301310213006344
true,3,0.20038609785487974
true,4,0.191617536768683
true,5,0.18885198470078304
true,6,0.20092886790939896
true,7,0.22267925181814827
true,8,0.2461614169299782
true,9,0.27283940159845876
true,10,0.2918440705079305
true,11,0.29406445801007336
true,12,0.2851469571257266
true,13,0.27460349289431063
true,14,0.26058736534274785
true,15,0.25132324726332916
true,16,0.24450963431533673
true,17,0.23953543976732647
true,18,0.23916109540674638
true,19,0.26037879262954666
true,20,0.2707763115826457
true,21,0.26968409813989375
true,22,0.2663774845013891
true,23,0.2628271990501425
