is_weekend,hour,per_customer_hour_mean
false,0,0.09366324133351053
false,1,0.07461613153121852
false,2,0.06558120667543524
false,3,0.062054573650236755
false,4,0.06404835590199436
false,5,0.07677683766874759
false,6,0.11343294366388254
false,7,0.18069037493119575
false,8,0.2566620299248483
false,9,0.2824312890944376
false,10,0.2756091333154849
false,11,0.2556745822838539
false,12,0.22821460746506528
false,13,0.2030159323428066
false,14,0.17446367173517677
false,15,0.1514234257001213
false,16,0.1351229804868883
false,17,0.13644684543649502
false,18,0.15665352437925262
false,19,0.16586164489789565
false,20,0.16670434291478142
false,21,0.1659469325188287
false,22,0.1544942594956749
false,23,0.12622945070260788
true,0,0.0941514018600869
true,1,0.07545496018967732
true,2,0.06597093960183152
true,3,0.06211301875976263
true,4,0.06386275325651082
true,5,0.0756150195292997
true,6,0.10732186619955043
true,7,0.16578493402970437
true,8,0.23920088575921533
true,9,0.2745340340447902
true,10,0.28245944185956334
true,11,0.27101487417853926
true,12,0.2462872861691278
true,13,0.21851207331971179
true,14,0.18566739175722533
true,15,0.15892296884273863
true,16,0.1406007046063508
true,17,0.13955416244130767
true,18,0.15796403379699053
true,19,0.16499918128135227
true,20,0.16369610053251976
true,21,0.1588957755181419
true,22,0.15015229099919392
true,23,0.12471083218424722
