year,month,per_customer_mean
2022,9,251.13172561629156
2022,10,554.8176609753551
2022,11,384.62400320172196
2022,12,374.30550014945845
2023,1,312.1546943048697
2023,2,338.8520492530777
2023,3,418.09930130620154
