city,n_customers,nn_mean_km,nn_median_km,nn_min_km,nn_max_km,pair_mean_km,pair_median_km,pair_min_km,pair_max_km,pair_sample_size
delhi,188315,0.02703325035146741,0.002746963364039246,0.0,3519.3883812153176,34.32793795421971,6.561123808178694,0.0,7180.931128923877,200000
mumbai,37368,0.0028036708132219415,0.0009975709893522877,0.0,3.7130643809309443,124.0989685264078,11.998798384250986,0.0,8216.782707414397,200000
